date_reported,date_occurred,area,crime_code,victim_age,status ID,status
2020-03-27,2020-03-27 03:15:00,4,740,40,IC,"Suspect Identified, Awaiting Action"
2020-03-22,2020-03-22 04:30:00,4,626,27,AO,"Suspect Identified, Awaiting Action"
2020-08-04,2020-07-16 19:00:00,11,662,51,IC,"Suspect Identified, Awaiting Action"
2021-04-23,2020-12-01 12:00:00,1,845,0,AA,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 02:45:00,1,350,44,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 03:25:00,1,740,41,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 00:30:00,1,930,57,IC,"Cold Case, No Progress"
2020-01-01,2020-01-01 02:30:00,1,626,25,IC,"Suspect Identified, Awaiting Action"
2020-06-24,2020-06-23 22:00:00,8,624,24,AO,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 02:30:00,1,310,34,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 05:00:00,1,860,18,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 12:00:00,1,230,57,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 03:44:00,1,745,55,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 10:30:00,1,480,23,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 12:00:00,1,745,55,IC,"Suspect Identified, Awaiting Action"
2020-12-09,2020-12-09 03:00:00,3,236,54,AO,Case in Court Proceedings
2020-01-01,2020-01-01 09:05:00,1,623,0,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 09:05:00,1,623,0,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 02:00:00,1,440,22,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 23:30:00,1,624,28,IC,"Suspect Identified, Awaiting Action"
2020-07-23,2020-06-22 20:05:00,8,956,42,AO,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 20:45:00,1,230,43,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 19:40:00,1,624,46,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 18:00:00,1,624,56,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 20:30:00,1,341,55,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 18:30:00,1,745,55,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 23:15:00,1,745,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 05:45:00,1,310,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 03:45:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 20:00:00,1,440,67,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 03:00:00,1,341,57,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 20:30:00,1,330,37,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 08:20:00,1,210,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 12:25:00,1,624,60,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 13:05:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 12:00:00,1,310,51,IC,"Suspect Identified, Awaiting Action"
2020-12-07,2020-12-07 12:03:00,9,900,52,AA,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 12:40:00,1,210,61,AO,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 08:00:00,1,626,38,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 16:00:00,1,624,36,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 14:50:00,1,310,59,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 12:15:00,1,442,32,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 11:30:00,1,888,44,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 03:20:00,1,230,60,IC,"Suspect Identified, Awaiting Action"
2021-10-26,2020-10-18 05:28:00,1,860,24,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 19:15:00,1,330,31,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 20:00:00,1,440,30,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 20:00:00,1,230,50,AA,"Suspect Identified, Awaiting Action"
2020-08-10,2020-08-10 01:25:00,18,626,50,AO,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 17:40:00,1,230,40,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 22:10:00,1,888,34,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 21:45:00,1,626,34,AA,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 21:20:00,1,624,45,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-02 22:00:00,1,624,62,IC,"Suspect Identified, Awaiting Action"
2020-11-12,2020-11-12 04:30:00,5,510,0,IC,"Suspect Identified, Awaiting Action"
2020-04-15,2020-04-12 13:00:00,6,510,0,AO,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-01 18:45:00,1,442,20,IC,"Suspect Identified, Awaiting Action"
2021-12-02,2020-12-02 10:40:00,14,354,31,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 09:30:00,1,745,0,IC,"Suspect Identified, Awaiting Action"
2021-01-23,2020-07-24 01:00:00,13,121,15,AO,Case in Court Proceedings
2020-01-03,2020-01-01 01:30:00,1,330,51,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-02 11:15:00,1,440,23,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 13:15:00,1,440,29,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 10:15:00,1,745,58,AO,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 18:30:00,1,624,24,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 12:00:00,1,761,51,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 15:50:00,1,740,41,AA,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 18:39:00,1,745,32,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 18:00:00,1,442,23,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 18:00:00,1,442,35,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 18:50:00,1,210,28,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 21:00:00,1,420,0,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 22:20:00,1,230,58,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 16:45:00,1,341,57,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 21:00:00,1,440,27,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 22:00:00,1,330,30,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 16:30:00,1,330,30,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 05:00:00,1,330,31,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 18:40:00,1,330,0,IC,"Suspect Identified, Awaiting Action"
2020-06-10,2020-06-10 19:00:00,4,210,24,AA,"Suspect Identified, Awaiting Action"
2020-02-17,2020-02-16 23:50:00,7,624,29,AO,"Suspect Identified, Awaiting Action"
2020-12-24,2020-12-24 13:10:00,7,331,47,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 00:40:00,1,624,48,IC,"Suspect Identified, Awaiting Action"
2020-10-20,2020-09-18 14:00:00,8,354,32,IC,"Suspect Identified, Awaiting Action"
2020-09-19,2020-09-19 10:40:00,3,210,23,IC,"Suspect Identified, Awaiting Action"
2020-02-07,2020-02-06 18:00:00,3,510,0,IC,"Suspect Identified, Awaiting Action"
2020-09-17,2020-09-17 22:55:00,5,901,46,AO,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 12:30:00,1,624,40,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 05:00:00,1,624,57,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 16:30:00,1,330,32,IC,"Suspect Identified, Awaiting Action"
2020-11-08,2020-11-07 10:00:00,8,886,58,AO,"Suspect Identified, Awaiting Action"
2020-11-28,2020-11-28 03:15:00,18,901,25,AO,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 12:38:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-02 21:30:00,1,440,18,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 21:30:00,1,330,25,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 15:58:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 13:00:00,1,440,37,IC,"Suspect Identified, Awaiting Action"
2020-03-26,2020-03-26 14:35:00,4,230,23,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 17:55:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 00:15:00,1,888,67,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 02:00:00,1,624,26,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 17:00:00,1,330,47,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 23:45:00,1,624,21,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-03 23:15:00,1,440,26,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 19:00:00,1,210,64,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 12:30:00,1,440,26,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-03 22:00:00,1,420,31,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 19:15:00,1,740,39,IC,"Suspect Identified, Awaiting Action"
2020-10-27,2020-10-27 20:10:00,8,626,35,AA,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 00:01:00,1,440,25,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 16:30:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 10:10:00,1,624,28,IC,"Suspect Identified, Awaiting Action"
2020-10-25,2020-10-24 18:00:00,8,310,33,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 14:30:00,1,341,75,IC,"Suspect Identified, Awaiting Action"
2021-12-06,2020-09-20 12:00:00,16,420,0,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 07:47:00,1,930,32,IC,"Cold Case, No Progress"
2020-01-04,2020-01-04 23:45:00,1,623,0,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-04 21:45:00,1,330,0,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 18:40:00,1,330,30,IC,"Suspect Identified, Awaiting Action"
2020-07-23,2020-05-15 08:00:00,8,956,44,AO,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-03 00:01:00,1,420,28,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 00:30:00,1,626,26,AA,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 19:45:00,1,740,56,AA,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 21:30:00,1,210,0,AA,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 21:20:00,1,350,35,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 17:17:00,1,421,28,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 05:19:00,1,888,19,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 23:30:00,1,624,43,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 01:45:00,1,888,0,IC,"Suspect Identified, Awaiting Action"
2020-02-07,2020-02-06 21:15:00,4,946,12,AO,"Cold Case, No Progress"
2020-01-06,2020-01-05 20:30:00,1,647,43,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 02:40:00,1,440,59,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 20:45:00,1,745,34,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 20:30:00,1,310,38,IC,"Suspect Identified, Awaiting Action"
2020-01-01,2020-01-01 01:00:00,1,330,37,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 20:00:00,1,420,0,IC,"Suspect Identified, Awaiting Action"
2022-07-22,2020-05-12 11:10:00,3,354,27,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 07:55:00,1,230,61,AA,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-04 10:25:00,8,940,49,AO,"Cold Case, No Progress"
2020-01-06,2020-01-06 09:30:00,1,230,22,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 06:00:00,1,330,43,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 20:00:00,1,624,71,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 13:10:00,1,624,71,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 13:05:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 12:30:00,1,442,55,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 14:50:00,1,330,19,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-01 12:30:00,1,330,68,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 14:58:00,1,354,38,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-03 18:30:00,1,480,48,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 13:30:00,1,624,69,IC,"Suspect Identified, Awaiting Action"
2021-11-09,2020-11-09 08:00:00,9,810,14,AO,"Suspect Identified, Awaiting Action"
2021-12-20,2020-02-13 14:25:00,10,956,37,IC,"Suspect Identified, Awaiting Action"
2020-11-20,2020-11-17 15:50:00,7,442,26,AA,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-04 13:00:00,1,330,50,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 22:00:00,1,624,13,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 09:20:00,1,662,61,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 23:00:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-03-04,2020-03-02 21:30:00,11,745,50,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-05 19:00:00,1,330,26,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 19:30:00,1,930,26,IC,"Cold Case, No Progress"
2020-01-06,2020-01-06 21:00:00,1,236,26,IC,Case in Court Proceedings
2020-01-06,2020-01-06 22:30:00,1,440,45,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 01:00:00,1,745,36,IC,"Suspect Identified, Awaiting Action"
2020-07-20,2020-07-19 23:30:00,12,624,45,AO,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 18:00:00,1,330,24,IC,"Suspect Identified, Awaiting Action"
2020-12-08,2020-11-30 11:00:00,6,922,0,AO,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 19:00:00,1,888,0,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 09:55:00,1,480,50,IC,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 19:00:00,1,330,25,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-02 14:00:00,1,440,27,IC,"Suspect Identified, Awaiting Action"
2020-12-15,2020-12-09 21:00:00,18,812,10,AO,"Suspect Identified, Awaiting Action"
2020-01-02,2020-01-02 19:00:00,1,330,33,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-04 01:21:00,1,330,53,IC,"Suspect Identified, Awaiting Action"
2020-01-04,2020-01-03 20:30:00,1,330,38,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 01:00:00,1,330,23,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 07:35:00,1,624,74,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 09:05:00,1,740,0,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 07:45:00,1,740,0,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 09:20:00,1,624,23,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-06 04:00:00,1,330,26,IC,"Suspect Identified, Awaiting Action"
2020-01-06,2020-01-03 13:00:00,1,341,0,IC,"Suspect Identified, Awaiting Action"
2020-01-03,2020-01-03 19:40:00,1,330,23,IC,"Suspect Identified, Awaiting Action"
2020-11-16,2020-11-16 08:30:00,8,236,49,AO,Case in Court Proceedings
2020-01-07,2020-01-06 17:58:00,1,480,57,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 10:20:00,1,860,40,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 19:30:00,1,440,25,IC,"Suspect Identified, Awaiting Action"
2022-01-28,2020-12-27 12:00:00,4,946,0,IC,"Cold Case, No Progress"
2020-01-07,2020-01-06 18:30:00,1,888,34,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 09:00:00,1,740,35,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 21:30:00,1,330,38,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 15:00:00,1,930,29,IC,"Cold Case, No Progress"
2020-01-07,2020-01-07 04:30:00,1,442,24,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 08:00:00,1,624,26,IC,"Suspect Identified, Awaiting Action"
2020-12-05,2020-11-30 04:00:00,5,745,0,AA,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 21:40:00,1,220,56,IC,Case in Court Proceedings
2020-01-07,2020-01-06 19:00:00,1,330,26,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 20:00:00,1,625,47,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 03:15:00,1,350,29,AA,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 01:17:00,1,755,29,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 19:17:00,1,442,0,IC,"Suspect Identified, Awaiting Action"
2022-01-25,2020-09-01 17:00:00,10,354,45,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 04:00:00,1,236,38,AA,Case in Court Proceedings
2020-01-08,2020-01-07 20:00:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-07 20:20:00,1,330,32,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 01:00:00,1,624,30,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-07 15:00:00,1,624,62,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-06 10:00:00,1,440,71,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 09:50:00,1,624,53,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-02 05:10:00,1,341,31,IC,"Suspect Identified, Awaiting Action"
2020-05-20,2020-05-20 12:50:00,7,330,53,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-07 17:53:00,1,341,0,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-06 17:30:00,1,440,49,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-06 01:00:00,1,440,38,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 08:45:00,1,740,55,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 13:00:00,1,761,43,IC,"Suspect Identified, Awaiting Action"
2021-11-08,2020-11-01 18:45:00,16,354,64,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 02:00:00,1,440,56,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 08:20:00,1,626,34,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 05:40:00,1,330,30,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 16:00:00,1,440,35,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 19:00:00,1,510,0,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-07 23:50:00,1,888,36,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-07 19:20:00,1,310,25,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-08 16:30:00,1,480,67,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-06 08:00:00,1,341,37,IC,"Suspect Identified, Awaiting Action"
2020-12-28,2020-12-28 18:10:00,1,230,57,AA,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-07 00:01:00,1,662,40,IC,"Suspect Identified, Awaiting Action"
2020-10-24,2020-10-23 23:30:00,10,740,0,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 00:01:00,1,440,59,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 17:50:00,1,442,34,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-08 21:45:00,1,624,20,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-07 22:00:00,1,745,69,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 07:00:00,1,480,0,AA,"Suspect Identified, Awaiting Action"
2020-01-31,2020-01-31 21:45:00,1,946,0,AA,"Cold Case, No Progress"
2020-01-09,2020-01-07 15:55:00,1,220,58,IC,Case in Court Proceedings
2020-01-08,2020-01-06 08:00:00,1,330,33,IC,"Suspect Identified, Awaiting Action"
2020-01-07,2020-01-07 19:30:00,1,330,28,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-01 14:15:00,1,330,31,IC,"Suspect Identified, Awaiting Action"
2020-01-08,2020-01-05 13:00:00,1,341,38,IC,"Suspect Identified, Awaiting Action"
2020-01-05,2020-01-05 19:00:00,6,649,0,AA,"Suspect Identified, Awaiting Action"
2020-12-07,2020-12-07 17:00:00,2,626,25,AO,"Suspect Identified, Awaiting Action"
2020-05-11,2020-05-11 11:30:00,6,210,0,AA,"Suspect Identified, Awaiting Action"
2020-11-07,2020-11-07 10:30:00,3,901,25,AO,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 10:15:00,1,624,34,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 09:30:00,1,946,41,IC,"Cold Case, No Progress"
2020-01-09,2020-01-08 23:30:00,1,740,49,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 15:39:00,1,442,20,IC,"Suspect Identified, Awaiting Action"
2020-01-09,2020-01-09 19:00:00,1,236,45,AA,Case in Court Proceedings
2020-01-10,2020-01-09 21:00:00,1,330,30,IC,"Suspect Identified, Awaiting Action"
